symbol,open_time,open,high,low,close,volume
SUIUSDT,2024-06-22 18:00:00,0.8948,0.8976,0.8922,0.8956,311321.8
SUIUSDT,2024-06-22 19:00:00,0.8955,0.8996,0.8932,0.8941,287005.7
SUIUSDT,2024-06-22 20:00:00,0.8941,0.8947,0.8888,0.8921,343632.3
SUIUSDT,2024-06-22 21:00:00,0.8917,0.8944,0.8904,0.8941,183015.7
SUIUSDT,2024-06-22 22:00:00,0.8943,0.8943,0.8875,0.8926,275048.2
SUIUSDT,2024-06-22 23:00:00,0.8931,0.8957,0.8884,0.8909,317227.5
SUIUSDT,2024-06-23 00:00:00,0.8907,0.9013,0.89,0.8954,765001.0
SUIUSDT,2024-06-23 01:00:00,0.8954,0.9019,0.8943,0.9,485936.1
SUIUSDT,2024-06-23 02:00:00,0.8996,0.9026,0.8971,0.8993,383838.8
SUIUSDT,2024-06-23 03:00:00,0.8991,0.9044,0.8981,0.9029,414726.9
SUIUSDT,2024-06-23 04:00:00,0.9025,0.9045,0.8985,0.9002,275961.8
SUIUSDT,2024-06-23 05:00:00,0.9003,0.902,0.8966,0.8971,345882.3
SUIUSDT,2024-06-23 06:00:00,0.897,0.9041,0.8936,0.9024,1016963.5
SUIUSDT,2024-06-23 07:00:00,0.9024,0.9126,0.9023,0.9083,626498.1
SUIUSDT,2024-06-23 08:00:00,0.9083,0.9221,0.9059,0.9198,1668246.0
SUIUSDT,2024-06-23 09:00:00,0.9199,0.9329,0.9199,0.9297,1849177.5
SUIUSDT,2024-06-23 10:00:00,0.9296,0.9336,0.9177,0.9199,1258497.6
SUIUSDT,2024-06-23 11:00:00,0.9197,0.923,0.9122,0.9123,877418.2
SUIUSDT,2024-06-23 12:00:00,0.9123,0.9227,0.9112,0.9197,1001133.7
SUIUSDT,2024-06-23 13:00:00,0.9196,0.9233,0.9168,0.9196,703341.6
SUIUSDT,2024-06-23 14:00:00,0.9198,0.9406,0.9153,0.9334,3504185.2
SUIUSDT,2024-06-23 15:00:00,0.9336,0.9433,0.9094,0.912,2635122.2
SUIUSDT,2024-06-23 16:00:00,0.9121,0.9135,0.8927,0.894,2017515.6
SUIUSDT,2024-06-23 17:00:00,0.894,0.9069,0.8931,0.9006,972959.5
SUIUSDT,2024-06-23 18:00:00,0.9005,0.904,0.8994,0.9011,444918.6
SUIUSDT,2024-06-23 19:00:00,0.9014,0.9039,0.8964,0.8997,366196.4
SUIUSDT,2024-06-23 20:00:00,0.8999,0.9003,0.8775,0.8932,1209148.1
SUIUSDT,2024-06-23 21:00:00,0.8931,0.9008,0.8922,0.8969,443055.6
SUIUSDT,2024-06-23 22:00:00,0.8965,0.8965,0.8836,0.8867,697959.9
